branch	language	segments_IPA	segments_source	source	comments	features	glottocode
Lezgic	Aghul	a	a	[Кибрик, Кодзасов 1990: 340–341]	NA	center	aghu1253
Lezgic	Aghul	æ	ä	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IeI по диалектам или свободно варьируют	front	aghu1253
Lezgic	Aghul	e	e	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IæI по диалектам или свободно варьируют	front	aghu1253
Lezgic	Aghul	i	i	[Кибрик, Кодзасов 1990: 340–341]	NA	front	aghu1253
Lezgic	Aghul	u	u	[Кибрик, Кодзасов 1990: 340–341]	NA	back	aghu1253
Lezgic	Aghul	y	ü	[Кибрик, Кодзасов 1990: 340–341]	NA	front	aghu1253
Lezgic	Aghul	a	a	[Кибрик, Кодзасов 1990: 340–341]	NA	open	aghu1253
Lezgic	Aghul	æ	ä	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IeI по диалектам или свободно варьируют	near-open	aghu1253
Lezgic	Aghul	e	e	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IæI по диалектам или свободно варьируют	mid	aghu1253
Lezgic	Aghul	i	i	[Кибрик, Кодзасов 1990: 340–341]	NA	close	aghu1253
Lezgic	Aghul	u	u	[Кибрик, Кодзасов 1990: 340–341]	NA	close	aghu1253
Lezgic	Aghul	y	ü	[Кибрик, Кодзасов 1990: 340–341]	NA	close	aghu1253
Lezgic	Aghul	a	a	[Кибрик, Кодзасов 1990: 340–341]	NA	unrounded	aghu1253
Lezgic	Aghul	æ	ä	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IeI по диалектам или свободно варьируют	unrounded	aghu1253
Lezgic	Aghul	e	e	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IæI по диалектам или свободно варьируют	unrounded	aghu1253
Lezgic	Aghul	i	i	[Кибрик, Кодзасов 1990: 340–341]	NA	unrounded	aghu1253
Lezgic	Aghul	u	u	[Кибрик, Кодзасов 1990: 340–341]	NA	rounded	aghu1253
Lezgic	Aghul	y	ü	[Кибрик, Кодзасов 1990: 340–341]	NA	rounded	aghu1253
Lezgic	Aghul	q'ˤ	q'I	[Кибрик, Кодзасов 1990: 340–341]	NA	pharyngealized	aghu1253
Lezgic	Aghul	qːˤ	q̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	pharyngealized	aghu1253
Lezgic	Aghul	qˤ	qI	[Кибрик, Кодзасов 1990: 340–341]	NA	pharyngealized	aghu1253
Lezgic	Aghul	ʁˤ	ʀI	[Кибрик, Кодзасов 1990: 340–341]	NA	pharyngealized	aghu1253
Lezgic	Aghul	χːˤ	χ̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	pharyngealized	aghu1253
Lezgic	Aghul	χˤ	χI	[Кибрик, Кодзасов 1990: 340–341]	NA	pharyngealized	aghu1253
Lezgic	Aghul	a	a	[Кибрик, Кодзасов 1990: 340–341]	NA	vowel	aghu1253
Lezgic	Aghul	æ	ä	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IeI по диалектам или свободно варьируют	vowel	aghu1253
Lezgic	Aghul	b	b	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	d	d	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	dʒ	ǯ	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	e	e	[Кибрик, Кодзасов 1990: 340–341]	варьирует с IæI по диалектам или свободно варьируют	vowel	aghu1253
Lezgic	Aghul	f	f	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ɡ	g	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ɡʷ	g˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	h	h	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʜ	ʜ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	consonant	aghu1253
Lezgic	Aghul	i	i	[Кибрик, Кодзасов 1990: 340–341]	NA	vowel	aghu1253
Lezgic	Aghul	j	j	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	kʰ	k	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	k'	k'	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	k'ʷ	k'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	kː	k̄	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	kːʷ	k̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	kʰʷ	k˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	l	l	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	m	m	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	n	n	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	pʰ	p	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	p'	p'	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	pː	p̄	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	qʰ	q	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	q'	q'	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	q'ːʷ	q̄'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	q'ʷ	q'˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	q'ˤ	q'I	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	qː	q̄	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	qːˤ	q̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	qʰʷ	q˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	qˤ	qI	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	r	r	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʁ	ʀ	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʁʷ	ʀ˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʁˤ	ʀI	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	s	s	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʃ	š	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	tʰ	t	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	t'	t'	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	tː	t̄	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	tsʰ	c	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ts'	c'	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	tsː	c̄	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	consonant	aghu1253
Lezgic	Aghul	tʃʰ	č	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	tʃ'	č'	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	tʃː	c̄̌	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	consonant	aghu1253
Lezgic	Aghul	u	u	[Кибрик, Кодзасов 1990: 340–341]	NA	vowel	aghu1253
Lezgic	Aghul	w	w	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	x	x	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	y	ü	[Кибрик, Кодзасов 1990: 340–341]	NA	vowel	aghu1253
Lezgic	Aghul	z	z	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʒ	ž	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках	consonant	aghu1253
Lezgic	Aghul	ʔ	ʔ	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	ʢ	ʕ	[Кибрик, Кодзасов 1990: 340–341]	у автора дан в скобках: представлен лишь в новых заимствованиях, исконные эмфатические ларингалы утрачены	consonant	aghu1253
Lezgic	Aghul	χ	χ	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	χːʷ	X̄˳	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
Lezgic	Aghul	χːˤ	χ̄I	[Кибрик, Кодзасов 1990: 340–341]	NA	consonant	aghu1253
